'Timestamp UTC','DateTime UTC','Main Quantity','Main L [uH]','Main C [uF]','Main R [Ohm]','Main Overload [bool]','Sec Quantity','Sec L [uH]','Sec C [uF]','Sec R [Ohm]','Sec D','Sec Q','Sec Theta [degree]','Sec Delta [%]','Sec Overload [bool]','Freq [Hz]','Tolerance','Sorting Passed [bool]','Sorting Reference','Delta Reference','is Delta Mode [bool]','is Sorting Mode [bool]','is LCR Auto Mode [bool]','is Auto Range Mode [bool]'
'1651592054.543190','2022-05-03 15:34:14.543190','Ls','50.200000000',,,'false','Q',,,,,'1.981200000',,,'false',100,,,,,'false','false','false','false'
'1651592065.092891','2022-05-03 15:34:25.092891','Ls','49.500000000',,,'false','Q',,,,,'2.311000000',,,'false',120,,,,,'false','false','false','false'
'1651592075.642033','2022-05-03 15:34:35.642033','Ls','49.100000000',,,'false','Q',,,,,'18.393000000',,,'false',1000,,,,,'false','false','false','false'
'1651592086.191933','2022-05-03 15:34:46.191933','Ls','48.670000000',,,'false','Q',,,,,'81.520000000',,,'false',10000,,,,,'false','false','false','false'
'1651592097.745993','2022-05-03 15:34:57.745993','Ls','48.260000000',,,'false','Q',,,,,'21.470000000',,,'false',100000,,,,,'false','false','false','false'
'1651592115.842296','2022-05-03 15:35:15.842296','Lp','62.500000000',,,'false','Q',,,,,'1.993000000',,,'false',100,,,,,'false','false','false','false'
'1651592121.859507','2022-05-03 15:35:21.859507','Lp','58.700000000',,,'false','Q',,,,,'2.284000000',,,'false',120,,,,,'false','false','false','false'
'1651592129.394668','2022-05-03 15:35:29.394668','Lp','49.300000000',,,'false','Q',,,,,'18.522000000',,,'false',1000,,,,,'false','false','false','false'
'1651592141.451526','2022-05-03 15:35:41.451526','Lp','48.640000000',,,'false','Q',,,,,'73.460000000',,,'false',10000,,,,,'false','false','false','false'
'1651592150.493678','2022-05-03 15:35:50.493678','Lp','48.370000000',,,'false','Q',,,,,'21.180000000',,,'false',100000,,,,,'false','false','false','false'
'1651592168.578274','2022-05-03 15:36:08.578274','Rs',,,'0.010000000','false',,,,,,,,,,100,,,,,'false','false','false','true'
'1651592180.634592','2022-05-03 15:36:20.634592','Rs',,,'0.010000000','false',,,,,,,,,,120,,,,,'false','false','false','false'
'1651592189.175028','2022-05-03 15:36:29.175028','Rs',,,'0.016000000','false',,,,,,,,,,1000,,,,,'false','false','false','false'
'1651592199.222088','2022-05-03 15:36:39.222088','Rs',,,'0.042000000','false',,,,,,,,,,10000,,,,,'false','false','false','false'
'1651592211.278580','2022-05-03 15:36:51.278580','Rs',,,'1.437000000','false',,,,,,,,,,100000,,,,,'false','false','false','false'
